time,Btc-open,Btc-high,Btc-low,Btc-close,Btc-volume,Eth-open,Eth-high,Eth-low,Eth-close,Eth-volume
08/07/2024,55852.61,58200,54278.93,56699.43,19043.04861,2930.78,3095.94,2822.64,3018.48,142216.0798
09/07/2024,56701.18,58295.31,56276.37,58047.86,11757.76026,3018.47,3113.5,3003.55,3066.51,59915.93942
10/07/2024,58047.86,59481.93,57157.28,57712.59,11619.63229,3066.35,3150.72,3023.8,3100.3,67608.0888
11/07/2024,57713.4,59533.06,57036.41,57340.77,11433.5338,3100.35,3220.48,3055,3099.29,77797.90457
12/07/2024,57343.66,58550,56538.33,57909.03,10516.604,3099.35,3158.3,3045.8,3135.05,49238.51061
13/07/2024,57908.61,59875,57770.92,59224.58,4255.105457,3134.84,3203.05,3114.15,3176.71,26046.02798
14/07/2024,59224.58,61428.67,59209.2,60808.42,6132.374031,3176.61,3270.12,3164.66,3246.38,38866.26159
15/07/2024,60804.97,64943.61,60666.59,64757.16,20601.73388,3246.38,3496.03,3233.86,3485.87,110069.7492
16/07/2024,64757.16,65405.89,62410.33,65088.99,14691.92002,3485.35,3499.99,3348,3446.67,90433.49001
17/07/2024,65086.55,66139,63853.99,64085.81,10647.79709,3446.67,3518.38,3376.92,3387.45,69258.00394
18/07/2024,64085.82,65130.88,63222.6,63982.86,7637.527604,3387.1,3490,3367.65,3425.58,62188.79113
19/07/2024,63977.64,67504.22,63289.15,66707.61,15163.05746,3425.58,3541.85,3375.99,3505.75,82780.35097
20/07/2024,66707.61,67635,66271,67163.83,4671.388851,3505.83,3540.79,3482.03,3519.06,29367.47696
21/07/2024,67163.82,68380,65820.18,68181.28,6027.862013,3518.99,3547.57,3413.01,3536.2,41195.37902
22/07/2024,68181.16,68495,66569.42,67558.22,11844.7912,3536.21,3563.02,3423.94,3441.1,55522.37465
23/07/2024,67560.03,67786.84,65444.3,65939.24,10791.03782,3441.09,3541.2,3390,3482.9,134627.1558
24/07/2024,65939.24,67131.17,65090.61,65366.4,7702.255511,3482.89,3488.05,3299.16,3334.99,108661.7098
25/07/2024,65358.86,66161.98,63412.46,65795.42,10452.25572,3335,3342.07,3086.13,3174.3,201536.4458
26/07/2024,65795.52,68216.66,65705.6,67924.08,9315.209188,3174.3,3286.65,3169.59,3274.95,88789.00061
27/07/2024,67921.46,69418.15,66635.28,67899.41,10233.62199,3274.84,3327.6,3190.57,3249.25,55872.33546
28/07/2024,67901.81,68308.82,67021.8,68244.3,3505.548369,3249.24,3283.98,3198.23,3269.98,30497.48961
29/07/2024,68244.3,70000,66400.01,66771.45,13641.48476,3270.15,3396.61,3256.68,3317.55,111549.62
30/07/2024,66767.14,66994.15,65283.68,66169.68,8733.57158,3317.42,3365.68,3232.55,3278.27,86408.39509
31/07/2024,66169.68,66837.4,64500,64609.62,8986.375293,3278.42,3348,3213,3231.81,87723.99197
01/08/2024,64609.61,65593.56,62212.81,65288.18,15636.72206,3231.81,3242.14,3077.17,3200.54,115192.5549
02/08/2024,65293.48,65557.86,61150,61418.06,15390.00964,3200.53,3215.75,2964.01,2985.84,124022.2088
03/08/2024,61418.06,62171.58,59819.13,60674.93,8019.394509,2985.88,3016.19,2857.35,2901.72,77878.90239
04/08/2024,60674.93,61082.3,57123,58130.95,10319.01092,2901.98,2933.13,2626.17,2688.31,110939.31
05/08/2024,58131.31,58282.83,49050.01,54029.12,59125.78927,2688.38,2696.41,2116.02,2420.37,750156.044
06/08/2024,54037.9,57091.16,53965.57,56048.08,16897.6752,2420.79,2556.62,2415.69,2462.52,240973.2188
07/08/2024,56048.07,57757.15,54564.15,55148.1,13971.51519,2462.26,2552.77,2308.94,2343.66,212737.2698
08/08/2024,55144.14,62755.24,54737.32,61705.58,20623.04986,2342.82,2725.35,2321.07,2683.59,223682.4212
