time,Btc-open,Btc-high,Btc-low,Btc-close,Btc-volume,Eth-open,Eth-high,Eth-low,Eth-volume,Eth-close
08/06/2021,33567.26,34069,31004.95,33402.13,34937.55755,2592.47,2621.91,2306.52,451505.0617,2509.11
09/06/2021,33402.13,37573.99,32408.53,37403.86,26040.89793,2509.1,2628.16,2406.33,291643.0377,2611.27
10/06/2021,37404.75,38425.67,35800,36694.05,19853.81419,2611.4,2625,2428.16,181679.4988,2471.59
11/06/2021,36694.91,37695,35944,37338.44,14142.1935,2471.59,2499.34,2322.16,189880.6814,2355.27
12/06/2021,37340.08,37448,34635.47,35557.33,14516.54556,2355.11,2452.58,2257.07,177293.9677,2371.49
13/06/2021,35557.32,39396,34780.57,39015.24,15748.96204,2371.85,2550,2309.67,172712.4856,2510.23
14/06/2021,39015.24,41076.03,38744.83,40539.47,21916.84416,2510.22,2609.02,2461.63,169626.353,2582.86
15/06/2021,40537.93,41322.55,39510.98,40162.37,17020.70299,2582.45,2640,2506.23,168529.3479,2543.58
16/06/2021,40158.06,40499,38105,38351,17238.57541,2543.57,2555,2351.01,178257.288,2367.73
17/06/2021,38351,39554.98,37365.63,38095.17,15970.35032,2368.24,2459.53,2306.35,153637.624,2373.33
18/06/2021,38103.94,38216.22,35153.16,35841.81,23472.37724,2373.33,2377.8,2125.12,273328.2266,2234.47
19/06/2021,35840.96,36457.18,34833.26,35484.79,16801.08671,2234.8,2279,2162.72,162828.9124,2164.72
20/06/2021,35484.8,36139.73,33347.05,35585.78,19400.07454,2165.13,2275.78,2042.5,231871.9151,2242.9
21/06/2021,35585.79,35741.54,31259,31609.82,41304.39904,2242.89,2259.1,1864.5,598655.0727,1885.67
22/06/2021,31609.82,33352,28800,32538.37,48409.17333,1885.49,1996.67,1700,620163.374,1881.65
23/06/2021,32538.9,34881.02,31708.03,33688.35,23124.81248,1881.24,2045,1823.97,287217.0905,1968.37
24/06/2021,33688.51,35295.67,32300,34654.58,16868.94085,1968.36,2035.39,1884.77,208623.599,1988.81
25/06/2021,34654.87,35500,31300,31594.63,26505.19267,1988.81,2019.39,1792,370739.7474,1809.07
26/06/2021,31594.62,32711.68,30173.49,32275.19,18299.38703,1809.07,1851.97,1717.41,238207.1667,1829.17
27/06/2021,32267.59,34749,32002.21,34709.23,14428.92979,1829,1988.62,1807.89,177413.9106,1984.71
28/06/2021,34708.53,35301.43,33864.99,34493.22,14920.26479,1984.84,2143.67,1957.24,278261.9824,2083.79
29/06/2021,34493.22,36675,34233.35,35904.28,17917.59826,2083.99,2247.03,2074.53,215702.6878,2166.18
30/06/2021,35906.17,36094.42,34033,35060,16700.72309,2165.64,2288,2089.16,254873.1457,2276.72
01/07/2021,35060,35066.54,32703.48,33516.11,13210.95097,2276.74,2277.44,2072.06,240720.5748,2107.01
02/07/2021,33510.93,33972.06,32704.73,33805.02,11765.6539,2107.75,2159.43,2017.07,192127.1912,2156
03/07/2021,33805.01,34953.07,33320,34682.16,6197.801129,2156,2239.69,2113.18,98666.79186,2226.95
04/07/2021,34685.03,35951,34390.53,35284.05,6224.03057,2227.46,2389.22,2190.56,126325.7362,2323.15
05/07/2021,35284.06,35290.82,33156.86,33697.78,9607.606199,2323.27,2324.44,2160,156103.9362,2197.34
06/07/2021,33697.78,35100,33300,34225.73,10313.01368,2197.34,2350,2195.02,165693.4672,2321.84
07/07/2021,34225.72,35077.46,33770.01,33878.56,9404.897987,2322.2,2411.19,2294.16,159702.0441,2316.82
08/07/2021,33879.5,33934.62,32111,32875.95,14147.35252,2317.64,2325.46,2084,223830.0037,2116.95
09/07/2021,32875.95,34100,32255.24,33824.26,8320.906493,2116.3,2189.28,2050,190883.3262,2147.38
10/07/2021,33824.25,34267.14,33027.83,33515.35,4906.245822,2147.38,2192.98,2075,116594.4859,2110.55
11/07/2021,33515.35,34607.37,33333.33,34259.23,7023.065005,2110.56,2173.37,2081.51,89340.97127,2140.82
12/07/2021,34259.22,34670,32665,33091.1,10145.24047,2141.45,2169,2002,174561.3796,2030.72
13/07/2021,33077.43,33337.61,32201.12,32734.14,9478.042189,2030.74,2047.72,1917.4,217891.7726,1940.76
14/07/2021,32734.14,33125.55,31600,32816.39,10355.3187,1940.34,2019.9,1865.5,195351.5345,1994.11
15/07/2021,32815.75,33187.6,31064.77,31868.68,11273.61174,1994.12,2039.99,1880,229477.7444,1918.07
16/07/2021,31872.49,32259.16,31025.42,31388.06,10006.47794,1918.99,1965.35,1850.15,184221.682,1877.22
17/07/2021,31389.57,31949.99,31179.01,31533.91,5695.574116,1877.22,1919,1847,113724.2972,1899.75
18/07/2021,31533.9,32450,31125.6,31788.25,5006.483105,1899.75,1994.4,1878.67,124679.1085,1891.46
19/07/2021,31786.37,31887.82,30429.99,30842.03,11027.00529,1891.46,1918.65,1805.47,191611.5191,1818.44
20/07/2021,30842.04,31052.65,29301.56,29796.16,18114.15286,1818.45,1840.79,1718.41,278984.7992,1786.46
21/07/2021,29796.15,32825,29501.02,32135.19,15598.47831,1786.51,2033.16,1754.27,263702.4608,1996.18
22/07/2021,32152.68,32611.84,31729.68,32287.74,7704.640463,1996.21,2046.74,1948.68,196355.4963,2024.75
23/07/2021,32287.75,33647.27,32000,33647.26,9004.842626,2024.75,2131.51,1995,177278.1895,2125.81
24/07/2021,33647.27,34525,33424.7,34283.01,9864.752437,2125.82,2200,2107.13,151102.5247,2185.95
25/07/2021,34291.67,35451.04,33888.89,35428.26,9434.630023,2186.76,2197.05,2108.08,129013.9891,2193.03
26/07/2021,35428.25,40593.93,35251.54,37262.77,40354.54556,2192.38,2437.99,2172.99,427763.0673,2228.26
27/07/2021,37262.76,39550,36413.26,39470.48,24709.10441,2228.71,2321,2152,253782.9739,2300.59
28/07/2021,39475.99,40925.56,38803.34,40035.1,27198.33358,2300.28,2347.88,2245.1,205833.2111,2300.42
29/07/2021,40035.1,40644.85,39229.47,40039.44,11022.42513,2300.76,2399.99,2267.78,172925.7167,2383.32
30/07/2021,40039.44,42320.57,38342,42237.95,15063.23441,2383.47,2474.82,2317.51,222140.7442,2463.9
31/07/2021,42233.66,42414.61,41064.11,41495.01,9351.942886,2463.88,2555,2422.31,134549.1197,2533.74
01/08/2021,41499,42605.64,39426,39865.41,10617.67293,2533.54,2699,2511.5,260742.0604,2555.43
02/08/2021,39859.18,40459.68,38690,39149.59,12379.41217,2555.99,2666.36,2503.7,234264.4911,2608.12
03/08/2021,39149.59,39785.3,37627.21,38191.44,15094.8174,2608.12,2633,2445.58,237814.0644,2508.31
04/08/2021,38189.4,39965.1,37509,39722.41,15327.67625,2508.16,2771.42,2455.94,250129.629,2724.71
05/08/2021,39718.9,41447.89,37300,40888.74,28507.85533,2724.71,2845,2530.69,326176.9875,2829.35
06/08/2021,40888.73,43399.26,39876.74,42869.58,20425.11454,2829.49,2949.21,2721,283374.4206,2892.98
07/08/2021,42869.59,44750,42457.27,44637.34,19634.79476,2892.83,3173.72,2866.58,299359.3624,3163.09
08/08/2021,44628.11,45363.83,43131.97,43829.14,18712.27158,3163.09,3191.99,2948.76,244654.4588,3014.13
09/08/2021,43829.15,46497.42,42821.3,46285.48,19464.72494,3014.12,3190,2892.5,315853.3267,3162.34
10/08/2021,46280,46718.44,44650.27,45595.66,13756.50067,3162.33,3235.1,3051,223500.0319,3142.09
11/08/2021,45601.82,46781.09,45350.74,45553.49,11628.32044,3142.18,3275,3122.22,194586.9179,3162.61
12/08/2021,45553.1,46223.95,43714.36,44422.14,13169.78177,3162.16,3239.69,2980,243214.9015,3047.21
13/08/2021,44422.15,47953.9,44249.64,47833.64,11794.94196,3047.21,3330,3034.52,190905.3521,3324.51
14/08/2021,47833.64,48176.52,46034.93,47109.65,8130.367694,3324.51,3333,3206.96,118892.5091,3266.52
15/08/2021,47109.64,47400,45525.19,47014.49,7745.702008,3266.52,3323.54,3112.96,162311.4793,3310.93
16/08/2021,47014.38,48076.52,45676.91,45902.46,10467.66031,3311.02,3341.47,3135,177756.8905,3146.6
17/08/2021,45903.22,47174.62,44405.39,44671.58,12756.14778,3146.6,3293.15,2992.15,246541.8992,3011.01
18/08/2021,44675.34,46035.27,44216.47,44707.98,10327.49887,3011.77,3126.51,2951,193245.6329,3014.38
19/08/2021,44709.1,47088.08,43955,46765.87,11938.12185,3014.38,3187.48,2960,161902.2888,3184.21
20/08/2021,46769.02,49400,46644.95,49342.4,13184.67049,3184.32,3300,3178.65,173202.4996,3286.58
21/08/2021,49349.99,49821.92,48285.28,48867.02,9574.836152,3286.82,3311,3206.96,108432.7274,3226.73
22/08/2021,48870.21,49526.13,48102.89,49284.63,6243.396434,3226.38,3275,3128.82,98417.87657,3241.42
23/08/2021,49284.38,50505,49012.84,49506.5,10824.26838,3241.41,3378.6,3233.19,170976.0902,3323.12
24/08/2021,49504.53,49875.9,47600,47682.45,12068.33823,3322.76,3360,3133.45,162665.0793,3171.52
25/08/2021,47682.45,49277,47122.02,48987.33,9289.231771,3170.94,3249,3079.92,138830.6912,3228.51
26/08/2021,48991.57,49365.1,46315.48,46851.47,11651.34374,3228.51,3251.05,3056,140286.6349,3093.2
27/08/2021,46851.47,49185.12,46361.01,49077.57,8924.122477,3092.71,3283.26,3050,168913.6231,3274.67
28/08/2021,49081.08,49309.83,48370,48942.94,4895.701913,3275.32,3290.51,3212.01,72183.42536,3247.99
29/08/2021,48942.89,49667.1,47801,48802.58,6935.09511,3247.99,3287.73,3153.75,89119.39625,3226.46
30/08/2021,48802.58,48906.51,46866,46993.71,12249.23741,3226.45,3349,3145.45,219625.5622,3229.01
31/08/2021,46996.8,48259.68,46708.93,47112.5,12919.4397,3229.02,3486.8,3190.56,320212.12,3430.23
01/09/2021,47110.33,49125,46537.62,48839.86,13010.83839,3430,3843.12,3384.24,306568.7009,3829.39
02/09/2021,48834.27,50392.19,48620.73,49279.37,14120.38264,3829.29,3838.28,3722.65,206168.9391,3787.97
03/09/2021,49279.38,51064.44,48349.66,50025,14577.22622,3788.2,4030.35,3710.59,284766.1604,3940.06
04/09/2021,50025,50558.75,49400,49942.98,7595.488165,3940.06,3970,3834.57,130047.4157,3887.53
05/09/2021,49944.89,51907.08,49500,51789.17,7743.934723,3887.58,3982.64,3835.7,101339.5616,3952.17
06/09/2021,51789.17,52802.03,51020.08,52698.81,9571.754711,3951.68,3973.27,3868,111675.6299,3928.89
07/09/2021,52698.8,52944.96,42830.77,46894.5,29022.81535,3928.72,3948,3009,482489.775,3436.96
08/09/2021,46894.49,47381.47,44423.49,46060.36,19624.55093,3436.75,3562.98,3216,352658.6907,3500.34
09/09/2021,46059.94,47400,45511.82,46400,13594.64633,3499.54,3568.59,3393.17,244244.2489,3424.95
10/09/2021,46396.26,47040.76,44140.48,44851.45,14905.54795,3424.32,3514.37,3142.67,271075.6899,3209.82
11/09/2021,44850.37,45989.94,44730.29,45171.83,6207.38337,3209.29,3349.43,3199.88,133373.8613,3266.77
12/09/2021,45173.66,46462.98,44754.31,46024.23,6499.858217,3266.97,3472.99,3231.75,133979.5198,3403.75
13/09/2021,46027.8,46900,43465,44947.72,15015.3029,3403.81,3430,3111.14,215497.9182,3286.2
14/09/2021,44953.23,47274.92,44679.92,47127.22,12644.16435,3285.66,3439.15,3270.74,152957.5415,3436.29
15/09/2021,47127.81,48475,46705,48148.12,12139.84207,3436.29,3621.15,3359.96,157550.5012,3615.65
16/09/2021,48144.03,48499.99,47020.82,47753.16,11739.27967,3615.68,3675.92,3482.97,193709.0894,3568.66
17/09/2021,47753.15,48176.64,46752.67,47303.5,9088.569565,3568.77,3595,3350.06,164813.9473,3400
18/09/2021,47306.87,48825.62,47050,48314.56,7491.034492,3400,3543,3369.53,129386.3713,3436.31
19/09/2021,48309.86,48379.19,46850.87,47255.92,7086.346262,3436.59,3457.22,3278,93362.31451,3328.59
20/09/2021,47253.71,47358.92,42500,43012.97,27706.67636,3328.7,3346.58,2911.81,434236.7826,2976.48
21/09/2021,43007.69,43639.88,39600,40719.6,27275.33818,2976.36,3104.82,2651,441567.8737,2765.69
22/09/2021,40736.81,44035.44,40570.42,43575.1,19462.53865,2765.33,3090.83,2738.24,271497.5459,3078.43
23/09/2021,43575.19,45000,43096.73,44897.59,13446.87469,3078.42,3182.34,3035.83,166485.493,3154.62
24/09/2021,44896.55,45200,40683.29,42848.92,22451.57711,3154.42,3160.48,2735,365024.832,2930.61
25/09/2021,42848.44,42998.76,41675,42705.51,7383.323903,2930.59,2968.85,2800.01,145561.5244,2924.01
26/09/2021,42705.51,43937,40803,43178.02,9971.645452,2923.91,3117.48,2741.34,168746.4814,3060.71
27/09/2021,43172.17,44366.96,42111,42171.76,10094.771,3059.92,3168.03,2925,172472.2979,2925.27
28/09/2021,42166.31,42780,40897.7,41026.07,10491.81363,2926.27,2971.16,2782.6,186331.0278,2805.65
29/09/2021,41030.19,42638.99,40750.12,41522.16,10303.30152,2805.64,2950.6,2781.99,177979.482,2850.14
30/09/2021,41519.11,44110.17,41409.67,43824.43,12835.98381,2849.71,3048.58,2836.21,169873.4508,3000.46
01/10/2021,43828.89,48500,43287.44,48165.76,20095.33156,3001.14,3337.15,2967.41,201035.5135,3311.16
02/10/2021,48165.76,48359.33,47451,47657.69,7262.634421,3311.2,3469.95,3258.94,144778.3845,3387.82
03/10/2021,47663.74,49300,47120.11,48233.99,7989.259259,3388.67,3489.18,3343.36,124271.0486,3420.07
04/10/2021,48233.99,49505,46916.7,49245.54,13938.64183,3419.63,3438.91,3269.67,163829.6268,3387.2
05/10/2021,49244.13,51906.23,49057.18,51493.99,17828.59727,3386.9,3547.88,3365.34,163084.6688,3515.3
06/10/2021,51499.77,55757.11,50416.01,55339.48,25869.64926,3517.26,3632.44,3342.16,219116.788,3575.85
07/10/2021,55346.95,55356.85,53379,53797.82,15820.83418,3576.45,3655.02,3471.52,195554.9483,3588.51
08/10/2021,53805.46,56113,53634.41,53963.82,12416.90199,3588.83,3670,3535,146564.4471,3563.96
09/10/2021,53965.18,55500,53675,54962.29,7123.055124,3563.96,3634.13,3538.61,88782.58533,3575.83
10/10/2021,54963.29,56545.24,54112.95,54690.53,9370.191238,3575.2,3605.49,3406.44,112835.102,3415
11/10/2021,54683.09,57833.23,54411.54,57487.44,13422.42082,3414.75,3625,3373.45,142525.7099,3542.37
12/10/2021,57485.97,57674.55,53873.78,56005.1,15457.00896,3542.2,3549,3403.51,176617.4519,3490.61
13/10/2021,56005.1,57771.33,54236.09,57367.32,14691.01339,3490.17,3614.48,3412.45,158955.2682,3608.21
14/10/2021,57367.32,58520.71,56832.32,57359.51,12198.02458,3608.43,3828.84,3588.55,216569.6921,3791.66
15/10/2021,57359.51,62910,56867.11,61695.39,27105.19764,3791.06,3900,3734.44,204682.208,3869.73
16/10/2021,61690.32,62350,60139.01,60877.42,10161.2582,3869.73,3968.49,3802,130674.3683,3829.66
17/10/2021,60867.05,61744.17,58943.83,61527.11,9153.322735,3829.7,3919,3643,134515.9109,3847.18
18/10/2021,61530.07,62675.19,59887.74,62042.41,19798.1489,3847.38,3894.7,3676.35,187448.5328,3745.48
19/10/2021,62042.4,64500,61333,64303.14,17380.30486,3745.13,3890.36,3700,154012.1533,3878.17
20/10/2021,64303.14,66999,63525,66026.54,19194.45411,3878.35,4169,3829.59,235728.7552,4161.94
21/10/2021,66021.26,66650.85,62050,62204.02,23474.39133,4161.83,4374.95,4010.22,286201.8377,4053.9
22/10/2021,62204.01,63750,60000,60687.64,17217.70765,4053.97,4169.72,3885.25,187484.2009,3971.55
23/10/2021,60682.88,61750,59650,61300.01,6708.150138,3971.89,4172.04,3935.92,109253.5717,4168.56
24/10/2021,61300.02,61491.96,59522.89,60854.48,8573.727192,4168.53,4188.42,3962.05,126731.4706,4082.64
25/10/2021,60847.91,63726.58,60653.5,63083.54,10496.58059,4082.09,4236.27,4069.22,145753.841,4220.93
26/10/2021,63081.96,63290.49,59837.07,60337.62,12181.48145,4221.16,4297,4091.31,169619.8749,4131.47
27/10/2021,60333.19,61488,58100,58455.47,18856.68565,4132.19,4314.63,3911,279555.3815,3923.94
28/10/2021,58462.73,62477.47,57653.88,60591.65,19354.49898,3925.26,4299,3889.05,257149.8296,4288.26
29/10/2021,60591.63,62974,60188.73,62276.72,15497.01102,4288.25,4461.96,4266.91,257148.946,4421.23
30/10/2021,62287.95,62379.2,60725.01,61892.41,6793.596986,4421.23,4435,4236.99,123410.5944,4324.67
31/10/2021,61896.38,62427.02,60001,61343.68,8371.16989,4325.55,4395.99,4168.1,148206.0898,4290.16
01/11/2021,61346.17,62500,59500,60949.54,11724.34162,4290.31,4385.16,4151,165298.6687,4322.89
02/11/2021,60956.4,64300,60672.16,63266.51,13694.11539,4322.89,4604.99,4287.32,217839.7931,4595.01
03/11/2021,63266.5,63568.36,60070,62935.41,12951.87181,4594.27,4671,4456,213935.7567,4606.07
04/11/2021,62935.4,63114.14,60728.77,61444.5,11051.75854,4606.07,4610.24,4423.01,182872.9613,4537.15
05/11/2021,61444.49,62638.59,60777,61006.15,10598.7962,4537.14,4574,4446.01,142403.1474,4479.47
06/11/2021,61006.14,61599.25,60125,61539.31,6366.438592,4479.47,4534.43,4329.21,107961.5534,4523.16
07/11/2021,61539.3,63327.96,61397.86,63309.13,5596.024607,4523.73,4639.8,4506.99,85312.85614,4617.02
08/11/2021,63309.12,67792.77,63309.12,67554.84,17661.87297,4617.27,4825,4616.5,163884.2935,4811.9
09/11/2021,67554.13,68568.85,66261.79,66944.66,14996.62509,4811.89,4842.54,4697.9,154525.6046,4731.59
10/11/2021,66938.76,69000,62800,64912.2,19030.24518,4731.58,4867.81,4460,249949.6244,4632.22
11/11/2021,64912.2,65600,64133.78,64807.59,10259.51472,4632.23,4783.05,4578.05,112248.3026,4721.87
12/11/2021,64807.73,65477.06,62300,64147.9,13658.62658,4721.07,4809.27,4508.42,160383.4575,4667.34
13/11/2021,64144.42,64990,63394.17,64400.01,5968.103548,4667.79,4708.6,4586.8,76568.33646,4644.44
14/11/2021,64400.01,65525,63596.9,65505.02,6081.57226,4644.43,4695.07,4516.05,96933.07064,4627.03
15/11/2021,65505.03,66339.9,63371,63624.59,10426.55523,4626.61,4770,4541,121693.7609,4565.06
16/11/2021,63621.05,63624.6,58638,60107.98,24910.15267,4564.34,4564.98,4108,309826.4596,4209.5
17/11/2021,60101.56,60824.38,58380,60351.51,20907.21545,4209.89,4300.01,4068.24,197969.4733,4289.4
18/11/2021,60351.51,60977.21,56514.13,56898,26749.21203,4289.4,4346.42,3960,291477.6479,3997.93
19/11/2021,56898.46,58412.12,55625,58122.16,18554.56064,3998.57,4314.82,3975.24,191232.5614,4299.55
20/11/2021,58122.15,59900,57423.35,59760.76,7584.652417,4299.55,4438.96,4206.03,96882.12098,4416.69
21/11/2021,59760.76,60070,58509.69,58671.21,6661.366354,4416.36,4427.72,4246.07,83775.31676,4262.99
22/11/2021,58671.22,59526.51,55641.03,56280.81,15889.22079,4263.04,4322.86,4024.45,174572.9893,4089.16
23/11/2021,56280.81,57886.03,55377,57566.85,14019.78167,4089.17,4389.95,4062.28,159935.238,4341.62
24/11/2021,57562.65,57607.97,55875.01,57162.66,12509.25972,4341.58,4359.88,4168.99,120268.6773,4270.74
25/11/2021,57158.58,59445.99,57037.04,58987.27,10668.67681,4270.93,4555.11,4250,132338.2817,4525.87
26/11/2021,58994.72,59194,53533,53757.67,25946.30175,4527.03,4555.53,3915,324817.5768,4043.67
27/11/2021,53757.67,55316.67,53642.58,54759.05,7899.303491,4043.62,4186.97,4031.56,93299.56272,4098.31
28/11/2021,54759.04,57490,53327,57317.17,8222.424934,4098.53,4303.35,3950,124752.7126,4298.38
29/11/2021,57318.51,58908.27,56730,57838.06,13454.23335,4298.38,4466,4282.07,170935.2073,4449.42
30/11/2021,57838.06,59249.77,55910.33,56987.97,18038.78771,4449.42,4759,4350.91,312105.0529,4634.95
01/12/2021,56998.35,59118.84,56465.75,57226.5,16607.30873,4636.43,4784.5,4526.94,241301.6956,4586.95
02/12/2021,57226.51,57423.69,55845,56521.46,12969.21953,4586.87,4637.39,4435,171913.6083,4514.59
03/12/2021,56521.45,57670.68,51640,53638.04,19567.63114,4514.54,4662.75,4035,312836.2506,4216.93
04/12/2021,53633.02,53876.09,42333,49241.12,39023.32979,4216.3,4240,3575,512946.9071,4123.13
05/12/2021,49235.26,49783,47827,49484.22,21727.13821,4123.13,4257,4038.13,250275.1399,4203.22
06/12/2021,49484.21,51105,47200,50529.56,23082.30466,4203.22,4380.8,3913,349333.8479,4354.22
07/12/2021,50529.56,51995,50067.1,50625.48,14107.33217,4354.09,4433.99,4260,198306.8585,4310.19
08/12/2021,50625.24,51250,48650.02,50519.68,13138.99183,4310.21,4456.36,4226.88,186740.137,4440.51
09/12/2021,50520.94,50844.86,47323.23,47568.43,15749.42434,4440.94,4490.72,4076.15,222048.2832,4106.06
10/12/2021,47568.43,50148.49,46900,47170.94,15689.57422,4105.99,4232.38,3889.42,273780.7217,3900.91
11/12/2021,47170.94,49517.18,46786.78,49407.75,11045.22374,3899.97,4099.87,3835,166327.1383,4091.18
12/12/2021,49424.47,50828.13,48665.43,50089.64,10411.0818,4091.17,4186.16,3989.41,108368.8575,4132.92
13/12/2021,50089.64,50218.42,45727.92,46727.89,20797.28835,4132.91,4146.1,3660,305712.33,3783.81
14/12/2021,46727.89,48686.91,46300,48367.43,17107.03429,3784,3884.08,3686.49,197099.242,3860.74
15/12/2021,48359.23,49500,46530,48884.78,21621.70984,3860.72,4097,3643.43,319094.2457,4021.53
16/12/2021,48878.83,49459.39,47524.66,47634.22,12731.23682,4021.41,4116.39,3952.81,174285.9332,3957.28
17/12/2021,47634.2,48000,45469.32,46166.5,18556.079,3957.12,3994.81,3699,209823.2651,3876.02
18/12/2021,46159.87,47368.73,45515.72,46859.46,8170.853032,3876.37,3999,3768.14,113485.7752,3961.92
19/12/2021,46857.49,48351.92,46440.11,46687.19,9518.707128,3961.93,4039.73,3886.03,102078.8123,3925.79
20/12/2021,46687.2,47548.93,45568,46926.07,16039.3851,3925.78,3984.08,3754.8,172027.9157,3946.16
21/12/2021,46926.07,49339.31,46645.05,48914.7,15461.41057,3946.59,4063.89,3908.13,137991.5015,4017.11
22/12/2021,48914.7,49595,48450,48608.62,10753.49907,4017.35,4075,3933.74,110316.2604,3981.12
23/12/2021,48608.61,51397.82,48032.16,50842.2,16627.04628,3980.82,4157.82,3895.7,180980.0779,4113.08
24/12/2021,50842.06,51878.6,50445.55,50851.38,11690.45418,4113.64,4138.71,4005,109472.8975,4049.65
25/12/2021,50852.31,51171.68,50191.84,50428.31,5550.571532,4049.81,4143.13,4021.31,68854.0553,4097.43
26/12/2021,50428.31,51295.33,49460,50801.79,6863.394738,4098.67,4106.5,4008.01,66848.08372,4065.91
27/12/2021,50804.33,52100,50480,50717.77,11596.91468,4066.14,4128.9,4027.56,108344.5711,4038.64
28/12/2021,50720.35,50720.35,47300.23,47543.09,23116.75584,4038.18,4038.68,3760.01,203399.822,3793.67
29/12/2021,47542.2,48149.58,46094.02,46471.24,20326.32142,3793.66,3828.18,3603,167709.4231,3630.59
30/12/2021,46471.24,47926.15,45938.44,47122.08,27413.65365,3630.18,3769.99,3585.85,155011.951,3710.02
31/12/2021,47122.09,48574.7,45650,46211.24,19010.24135,3710.01,3815.04,3619.78,171634.9615,3675.8
01/01/2022,46211.24,47967.12,46205,47733.43,9463.661711,3675.81,3777.82,3674.02,98353.62553,3765.72
02/01/2022,47733.43,47990,46633.36,47299.07,6833.498455,3765.98,3855.77,3718.2,78466.35114,3828.87
03/01/2022,47299.06,47583.33,45700,46459.56,10841.8102,3828.93,3851.66,3681.62,106574.1336,3766.04
04/01/2022,46459.57,47532.89,45515,45814.61,16320.32713,3766.01,3894.12,3714.22,148752.5264,3785
05/01/2022,45817.13,47076.55,42500,43436.04,25067.67477,3785,3848.2,3414.88,240345.1386,3539
06/01/2022,43446.34,43794.5,42432.99,43083.76,20780.04785,3539,3550.02,3300,282771.6378,3406.03
07/01/2022,43081.79,43144.72,40571.53,41565.18,26122.19991,3405.66,3415.52,3065,376752.1563,3198.82
08/01/2022,41564.57,42318.97,40505.3,41684.84,15454.11315,3198.96,3247.89,3000,231676.1206,3080.48
09/01/2022,41684.84,42831.12,41209.53,41876.52,11074.22498,3080.92,3212.46,3057.82,131897.7538,3151.66
10/01/2022,41876.52,42250,39650,41824.07,25232.3574,3151.65,3180.29,2928.69,260769.1404,3083.51
11/01/2022,41824.06,43130,41274.8,42753.44,19697.46613,3083.51,3265.98,3052.19,158466.7074,3240.83
12/01/2022,42749.84,44342.83,42459.21,43920.37,16250.2147,3240.83,3420.08,3206.72,165432.4604,3373.64
13/01/2022,43921.21,44453.22,42325,42581.65,14772.09479,3373.25,3413.36,3233.67,130378.3016,3241.88
14/01/2022,42576.27,43473.98,41752,43090.72,13545.75086,3241.6,3346.81,3188.34,110175.1472,3310.45
15/01/2022,43090.72,43819.39,42577.35,43098.2,6318.385502,3309.98,3373.56,3260,58794.17252,3328.12
